Source,Scraped,Headline,Link
The Guardian,2020/01/02,The Breakdown | Five winds of change stirring rugby union as the sport enters 2020s,https://www.theguardian.com/sport/2020/jan/02/the-breakdown-five-winds-change-stirring-rugby-2020s
SMH,2020/01/03,Australian tennis stars pledge money for bushfire relief,https://www.smh.com.au/sport/tennis/australian-tennis-stars-pledge-money-for-bushfire-relief-20200102-p53ogi.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,Renegades go from bad to worse after falling to the Sixers,https://www.smh.com.au/sport/cricket/renegades-go-from-bad-to-worse-after-falling-to-the-sixers-20200102-p53ogj.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,"Kyrgios admits he may erupt again, despite turning to psychologist",https://www.smh.com.au/sport/tennis/kyrgios-admits-he-may-erupt-again-despite-turning-to-psychologist-20200102-p53ofr.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,Nash right at home after pulling pin on Melbourne bash,https://www.smh.com.au/sport/racing/nash-right-at-home-after-pulling-pin-on-melbourne-bash-20200102-p53oam.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/02,Widdup looks to unbeaten Adelong for winning start to 2020,https://www.smh.com.au/sport/racing/widdup-looks-to-unbeaten-adelong-for-winning-start-to-2020-20200102-p53oah.html?ref=rss&utm_medium=rss&utm_source=rss_sport
The Guardian,2020/01/01,Hazy spirit gives way to smoke haze as cricket's Sydney Test approaches,https://www.theguardian.com/sport/2020/jan/02/hazy-spirit-gives-way-to-smoke-haze-as-crickets-sydney-test-approaches
The Guardian,2020/01/02,"Kyrgios, Stosur and others pledge $200 per ace to bushfire relief efforts",https://www.theguardian.com/sport/2020/jan/02/kyrgios-stosur-and-others-pledge-200-per-ace-to-bushfire-relief-efforts
The Guardian,2020/01/02,Tim Henman calls for 'perspective' as smoke haze threatens ATP Cup,https://www.theguardian.com/sport/2020/jan/02/tim-henman-calls-for-perspective-as-smoke-haze-threatens-tennis-inaugural-atp-cup
The Guardian,2020/01/01,The post-Sam Kerr reality is proving a harsh one for Perth Glory | Ella Reilly,https://www.theguardian.com/football/2020/jan/02/the-post-sam-kerr-reality-is-proving-a-harsh-one-for-perth-glory
ABC,2020/01/02,Need inspiration for your 2020 fitness goals? Meet the woman who ran across Australia,https://www.abc.net.au/news/2020-01-02/katie-visco-ran-across-australia/11835396
ABC,2020/01/02,"'When it gets smoky, we're coming off': Tim Paine says officials watching air quality for Sydney Test",https://www.abc.net.au/news/2020-01-02/when-it-gets-smoky-were-coming-off-paine-test-bushfires/11837548
ABC,2020/01/02,NBA legend Michael Jordan pays tribute to man who 'allowed me to succeed',https://www.abc.net.au/news/2020-01-02/david-stern-former-nba-basketball-commissioner-dies-aged-77/11836972
ABC,2020/01/02,"Less than nine years after his AFL dream came true, Jake Edwards tried to take his own life",https://www.abc.net.au/news/2020-01-02/when-his-afl-dream-died-jake-edwards-mental-health-collapsed/11811490
BBC Sport,2020/01/03,"Jurgen Klopp: Too much football 'bad for relationships', says Liverpool boss",http://www.bbc.co.uk/sport/football/50987245
BBC Sport,2020/01/03,England in South Africa: Tourists limp to 262-9 on day one at Newlands,http://www.bbc.co.uk/sport/cricket/50982276
BBC Sport,2020/01/03,ATP Cup: Great Britain lose to Bulgaria after Jamie Murray and Joe Salisbury defeat,http://www.bbc.co.uk/sport/tennis/50982973
BBC Sport,2020/01/03,Jose Mourinho: Expecting 'bad news' on Harry Kane injury,http://www.bbc.co.uk/sport/football/50986271
BBC Sport,2020/01/03,AC Milan: Zlatan Ibrahimovic says he did not rejoin Serie A side 'to be a mascot',http://www.bbc.co.uk/sport/football/50983647
BBC Sport,2020/01/03,"Australian bushfires: Nick Kyrgios tearful after ATP Cup win raises more than A$4,000",http://www.bbc.co.uk/sport/tennis/50980702
BBC Sport,2020/01/03,Australia v New Zealand: Marnus Labuschagne hits century for hosts,http://www.bbc.co.uk/sport/cricket/50980573
BBC Sport,2020/01/03,ATP Cup: Moldova receive apology after wrong anthem played in Australia,http://www.bbc.co.uk/sport/tennis/50980693
BBC Sport,2020/01/02,Liverpool unbeaten for a year in Premier League - how did they do it?,http://www.bbc.co.uk/sport/football/50688370
Cricinfo,2020/01/03,Steven Smith earns his runs in Marnus Labuschagne's summer,http://www.espncricinfo.com/ci/content/story/1211830.html?CMP=OTC-RSS
Cricinfo,2020/01/03,"Marnus Labuschagne ton, Steven Smith fifty dent depleted New Zealand's morale",http://www.espncricinfo.com/ci/content/story/1211771.html?CMP=OTC-RSS
The Guardian,2020/01/03,Body fat recordings and mood scores: has technology gone too far in rugby? | Paul Rees,https://www.theguardian.com/sport/2020/jan/03/body-fat-recordings-mood-scores-technology-rugby-union
SMH,2020/01/04,Dominant Dimitrov drags Bulgaria to right side of ATP Cup thriller,https://www.smh.com.au/sport/tennis/norrie-shakes-nerves-to-put-great-britain-in-strong-position-20200103-p53opb.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/04,Tips and race-by-race preview for Randwick on Saturday,https://www.smh.com.au/sport/racing/tips-and-race-by-race-preview-for-randwick-on-saturday-20200102-p53ob7.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/03,De Minaur smothers Zverev for ATP Cup win,https://www.smh.com.au/sport/tennis/de-minaur-smothers-zverev-for-atp-cup-win-20200103-p53oq3.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/03,Lynn leads Heat to bounce-back BBL win over Hurricanes,https://www.smh.com.au/sport/cricket/lynn-leads-heat-to-bounce-back-bbl-win-over-hurricanes-20200103-p53opy.html?ref=rss&utm_medium=rss&utm_source=rss_sport
SMH,2020/01/03,ICC rates Boxing Day Test pitch 'very good',https://www.smh.com.au/sport/cricket/icc-rates-boxing-day-test-pitch-very-good-20200103-p53on6.html?ref=rss&utm_medium=rss&utm_source=rss_sport
The Guardian,2020/01/03,More misery for New Zealand as Marnus Labuschagne hits another century,https://www.theguardian.com/sport/2020/jan/03/more-misery-for-new-zealand-as-marnus-labuschagne-hits-another-century
The Guardian,2020/01/03,"South Africa v England: second Test, day one – as it happened",https://www.theguardian.com/sport/live/2020/jan/03/south-africa-v-england-second-test-day-one-live
The Guardian,2020/01/03,Tennis Australia announces charity match to support bushfire relief,https://www.theguardian.com/sport/2020/jan/03/tennis-australia-announces-charity-match-to-support-bushfire-relief
The Guardian,2020/01/03,From champs to chumps: Melbourne Renegades set new Australian low,https://www.theguardian.com/sport/2020/jan/03/from-champs-to-chumps-melbourne-renegades-set-new-australian-low
The Guardian,2020/01/02,David Squires on ... what is in store for the A-League in 2020,https://www.theguardian.com/football/ng-interactive/2020/jan/02/david-squires-on-what-is-in-store-for-the-a-league-in-2020
ABC,2020/01/04,$2 million an hour: Aussie jockey Zac Purton powering through Hong Kong’s riots,https://www.abc.net.au/news/2020-01-04/star-jockey-zac-purton-is-one-of-australias-greatest-athletes/11831394
ABC,2020/01/03,"At the SCG, this was the day that didn't matter",https://www.abc.net.au/news/2020-01-03/day-one-of-the-new-years-test-at-the-scg-did-not-matter/11840334
ABC,2020/01/03,"'It's tough': Nick Kyrgios breaks down in tears over bushfires, leads Australia to ATP Cup win",https://www.abc.net.au/news/2020-01-03/nick-kyrgios-kicks-off-australias-atp-cup-challenge-with-a-win/11840100
ABC,2020/01/03,Labuschagne century helps Aussies dominate Kiwis on day one,https://www.abc.net.au/news/2020-01-03/australia-v-new-zealand-third-test-at-the-scg-day-one-live-blog/11838176
ABC,2020/01/03,"Kyrgios to donate to bushfire victims for every ace, as Australian Open flags concert, exhibition fundraiser",https://www.abc.net.au/news/2020-01-03/nick-kyrgios-funds-raised-for-bushfires/11838496
BBC Sport,2020/01/04,Getafe 0-3 Real Madrid: Raphael Varane and Luka Modric score in win,http://www.bbc.co.uk/sport/football/50994528
BBC Sport,2020/01/04,"Brighton & Hove Albion 0-1 Sheffield Wednesday, FA Cup third round",http://www.bbc.co.uk/sport/football/50976021
BBC Sport,2020/01/04,"Watford 3-3 Tranmere Rovers, FA Cup third round",http://www.bbc.co.uk/sport/football/50976090
