Source,Scraped,Headline,Link
Daily FT,2020-01-03,Lalinda new CEO at Kelsey Developments,http://www.ft.lk/business/Lalinda-new-CEO-at-Kelsey-Developments/34-692932
Daily FT,2020-01-03,Marina Square highlights investment opportunities in Sri Lanka among Chinese delegates,http://www.ft.lk/business/Marina-Square-highlights-investment-opportunities-in-Sri-Lanka-among-Chinese-delegates/34-692933
The Island,2020-01-04,TFC calls for Expressions of Interest; minimum equity investment  of Rs. 25 billion required,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216440
The Island,2020-01-04,Global media icon Richard Quest applauds his SriLankan  experience,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216442
The Island,2020-01-04,57% of Sri Lankans unwilling to pay higher food bill to protect  local industry - Advocata Survey,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216444
The Island,2020-01-04,INSEE Ecocycle inaugurates Resource Recovery Center,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216446
The Island,2020-01-04,‘Aqua and Aero Dynamics makes its employees feel valued’,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216448
The Island,2020-01-04,‘SriLankan Airlines spreads the joy with incredible events this  festive season’,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216441
The Island,2020-01-04,"Attractive data plans for YouTube, Facebook and WhatsApp",http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216443
The Island,2020-01-04,Expanding and innovating without fear: Dairy entrepreneur  Shantha reveals his story,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216445
The Island,2020-01-04,Introducing ‘Seylan Merchant Portal’ for enterprises,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216447
Sunday Observer,2020-01-05,Tea Strategy Road Map for 2030 : ‘Lanka cannot continue to depend on exporting black tea’,http://www.sundayobserver.lk/2020/01/05/business/tea-strategy-road-map-2030-%E2%80%98lanka-cannot-continue-depend-exporting-black-tea%E2%80%99
Sunday Observer,2020-01-05,‘Listing of SOEs will benefit capital market’,http://www.sundayobserver.lk/2020/01/05/business/%E2%80%98listing-soes-will-benefit-capital-market%E2%80%99
Sunday Observer,2020-01-05,President advocates measures to lead knowledge-centric century,http://www.sundayobserver.lk/2020/01/05/business/president-advocates-measures-lead-knowledge-centric-century
Sunday Observer,2020-01-05,Relief for SMEs through banks,http://www.sundayobserver.lk/2020/01/05/business/relief-smes-through-banks
Sunday Observer,2020-01-05,Sale of Cambodian micro finance stake : LOLC likely to make disclosure this week,http://www.sundayobserver.lk/2020/01/05/business/sale-cambodian-micro-finance-stake-lolc-likely-make-disclosure-week
The Island,2020-01-06,Lankem Ceylon PLC notifies Related Party Transactions,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216570
The Island,2020-01-06,ComBank Extraordinary General Meeting on Jan. 30,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216572
The Island,2020-01-06,Huawei previews new range of products and wearables in 2020,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216574
The Island,2020-01-06,‘Guththila’ revolutionises advertising landscape with innovative  strategy,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216576
The Island,2020-01-06,CBH Lands encourages real estate investment,http://island.lk/index.php?page_cat=article-details&page=article-details&code_title=216578
