Source,Scraped,Headline,Link
SMH,2020/01/01,Penalty rates reductions result in $50 million loss in wages,https://www.smh.com.au/business/workplace/penalty-rates-reductions-result-in-50-million-loss-in-wages-20191231-p53nuk.html?ref=rss&utm_medium=rss&utm_source=rss_business
SMH,2020/01/01,Sydney house prices set to top $1 million again,https://www.smh.com.au/business/banking-and-finance/sydney-house-prices-set-to-top-1-million-again-20191231-p53nwh.html?ref=rss&utm_medium=rss&utm_source=rss_business
SMH,2020/01/01,Why I didn't donate to the Rural Fire Service this time around,https://www.smh.com.au/business/the-economy/why-i-didn-t-donate-to-the-rural-fire-service-this-time-around-20191231-p53nt1.html?ref=rss&utm_medium=rss&utm_source=rss_business
SMH,2020/01/01,"Seafood, see veg",https://www.smh.com.au/business/small-business/seafood-see-veg-20191219-p53lng.html?ref=rss&utm_medium=rss&utm_source=rss_business
SMH,2020/01/01,'We're agile and quick': How Bondi Sands is successfully selling an Aussie tan,https://www.smh.com.au/business/small-business/we-re-agile-and-quick-how-bondi-sands-is-successfully-selling-an-aussie-tan-20191212-p53jf3.html?ref=rss&utm_medium=rss&utm_source=rss_business
Sky News,2020/01/01,Risky developers to face more scrutiny in NSW residential sector,https://www.skynews.com.au/details/_6118895480001
ABC,2020/01/01,What's changing in 2020? This is what you need to know,https://www.abc.net.au/news/2020-01-01/whats-changing-in-2020-this-is-what-you-need-to-know/11746198
SMH,2020/01/02,Tabcorp says punters embracing digital venue push,https://www.smh.com.au/business/companies/tabcorp-says-punters-embracing-digital-venue-push-20191230-p53npv.html?ref=rss&utm_medium=rss&utm_source=rss_business
SMH,2020/01/02,"After ebullient 2019, Wall Street warns of slower road ahead",https://www.smh.com.au/business/markets/after-ebullient-2019-wall-street-warns-of-slower-road-ahead-20200101-p53o55.html?ref=rss&utm_medium=rss&utm_source=rss_business
SMH,2020/01/02,'I can't hide anymore': TPG billionaire boss David Teoh after a challenging year,https://www.smh.com.au/business/companies/i-can-t-hide-anymore-tpg-billionaire-boss-david-teoh-after-a-challenging-year-20191231-p53nse.html?ref=rss&utm_medium=rss&utm_source=rss_business
