Source,Scraped,Headline,Link
ABC,2020/01/01,Bushfire limbo: What now for stranded holidaymakers and residents?,http://www.abc.net.au/news/2020-01-01/bushfires-what-now-for-stranded/11835764
Sky News,2020/01/02,Cabinet papers show govt held marathon meetings ahead of GST roll out,https://www.skynews.com.au/details/_6119058231001
Sky News,2020/01/02,Anthony Albanese rejects Greens' suggestion of bushfire royal commission,https://www.skynews.com.au/details/_6119081600001
Sky News,2020/01/02,PM failing to meet the tone of the community on bushfires: Albanese ,https://www.skynews.com.au/details/_6119065450001
Ten,2020/01/02,Desperate Police Search For Teenager And Her Daughter,https://10daily.com.au/news/australia/a200101ykbwn/desperate-police-search-for-teenager-and-her-daughter-20200101
Ten,2020/01/02,Bushfire Victims Stranded With 600 Cattle Need Feed 'Now Or They Die',https://10daily.com.au/news/australia/a200101ifohj/bushfire-victims-stranded-with-600-cattle-need-feed-now-or-they-die-20200101
Ten,2020/01/02,'Absolute Hell': Father And Daughter Fight Bushfire For Five Hours,https://10daily.com.au/news/australia/a200101fbzgc/absolute-hell-father-and-daughter-fight-bushfire-for-five-hours-20200101
Ten,2020/01/02,'Very Sad Day': Man Confirmed Dead In East Gippsland Fires,https://10daily.com.au/news/australia/a191231ekzug/victorian-towns-on-high-alert-military-deployed-after-fires-turned-the-sky-red-20191231
Ten,2020/01/02,"Seven Confirmed Dead, One Missing In NSW Bushfires",https://10daily.com.au/news/australia/a191231cmfiw/man-missing-multiple-homes-predicted-lost-in-nsw-bushfires-20191231
Ten,2020/01/02,Wife's Tribute To Husband Who Died Defending Home From Bushfire,https://10daily.com.au/news/australia/a191231owxvh/wifes-tribute-to-husband-who-died-defending-home-from-nsw-bushfires-20191231
Ten,2020/01/02,All The Good To Come From NYE 2019,https://10daily.com.au/news/australia/a191230wxbci/all-the-good-to-come-from-nye-2019-20191231
ABC,2020/01/02,Fuel and food shortages and sleeping in cars: The bushfire limbo awaiting communities,https://www.abc.net.au/news/2020-01-01/bushfires-what-now-for-stranded/11835764
ABC,2020/01/02,The surprising laws about married women that weren't overturned until the late 1980s,https://www.abc.net.au/news/2020-01-01/archaic-legislation-governing-nt-women-property-rights/11816304
ABC,2020/01/02,"Harry Potter, the GST and more: 20 years on, can you remember the late nineties?",https://www.abc.net.au/news/2020-01-01/nineties-quiz-cabinet-documents/11832642
ABC,2020/01/02,Fears of a meltdown: Inside cabinet's secret preparations for the disaster that never happened,https://www.abc.net.au/news/2020-01-01/y2k-millenium-bug-cabinet-documents/11832892
The Guardian,2020/01/01,Three more deaths confirmed in Australia bushfires and hundreds of homes destroyed â€“ as it happened,https://www.theguardian.com/australia-news/live/2020/jan/01/australia-bushfires-new-south-wales-victoria-fires-news-latest-live-updates
The Guardian,2020/01/01,"Australia fires: nine dead and hundreds of properties destroyed, with worse to come",https://www.theguardian.com/australia-news/2020/jan/01/australia-fires-nine-dead-and-hundreds-of-properties-destroyed-with-worse-to-come
The Guardian,2020/01/01,"Australia's bushfire towns battle on, despite what they have lost: supplies, power, houses, 'the lot'",https://www.theguardian.com/australia-news/2020/jan/01/australia-bushfire-towns-supplies-power-houses-the-lot
The Guardian,2020/01/01,Australian navy ship prepares to evacuate residents from bushfire-hit Victoria coast,https://www.theguardian.com/australia-news/2020/jan/01/australian-navy-ship-prepares-to-evacuate-residents-from-bushfire-hit-victoria-coast
The Guardian,2020/01/01,"Malua Bay fire: survivors tell how 1,000 people lived through a night of flames on NSW beach",https://www.theguardian.com/australia-news/2020/jan/01/malua-bay-fire-survivors-tell-how-1000-people-lived-through-a-night-of-flames-on-nsw-beach
The Guardian,2020/01/01,Australia weather forecast: dangerous bushfire and heatwave conditions to return after brief cool reprieve,https://www.theguardian.com/australia-news/2020/jan/01/australia-weather-forecast-dangerous-bushfire-and-heatwave-conditions-to-return-after-brief-cool-reprieve
The Guardian,2020/01/01,What we know so far about the Australian bushfire crisis on New Year's Day,https://www.theguardian.com/australia-news/2020/jan/01/what-we-know-so-far-about-the-australian-bushfire-crisis-on-new-years-day
SBS,2020/01/01,Tourists urged to flee NSW south coast after at least seven lives lost to fires,https://www.sbs.com.au/news/tourists-urged-to-flee-nsw-south-coast-after-at-least-seven-lives-lost-to-fires
SBS,2020/01/01,'Very sad day': Man killed in Victoria bushfire,https://www.sbs.com.au/news/very-sad-day-man-killed-in-victoria-bushfire
SBS,2020/01/01,Australia now has its first state run on 100 per cent renewable electricity,https://www.sbs.com.au/news/australia-now-has-its-first-state-run-on-100-per-cent-renewable-electricity
SBS,2020/01/01,Canberra's air quality is 'the worst in the world' as bushfire smoke shrouds capital,https://www.sbs.com.au/news/canberra-s-air-quality-is-the-worst-in-the-world-as-bushfire-smoke-shrouds-capital
SBS,2020/01/01,Djokovic says ATP Cup will prepare him for the Australian Open,https://www.sbs.com.au/news/djokovic-says-atp-cup-will-prepare-him-for-the-australian-open
SBS,2020/01/01,How the January 1 changes affect you,https://www.sbs.com.au/news/how-the-january-1-changes-affect-you
SBS,2020/01/01,'Worse to come': Tough NSW fire conditions forecast for Saturday as communities reel from deaths,https://www.sbs.com.au/news/worse-to-come-tough-nsw-fire-conditions-forecast-for-saturday-as-communities-reel-from-deaths
SBS,2020/01/01,$2 million raised for bushfire relief after Sydney New Year's Eve fireworks display,https://www.sbs.com.au/news/2-million-raised-for-bushfire-relief-after-sydney-new-year-s-eve-fireworks-display
SBS,2020/01/01,Call for Royal Commission into Australia's bushfires as government urged to tackle 'root cause',https://www.sbs.com.au/news/call-for-royal-commission-into-australia-s-bushfires-as-government-urged-to-tackle-root-cause
SBS,2020/01/01,'The number of lives lost will climb': NSW fires devastate communities,https://www.sbs.com.au/news/the-number-of-lives-lost-will-climb-nsw-fires-devastate-communities
SMH,2020/01/03,Teach kids to break cycle of family violence: Liberal MP,https://www.smh.com.au/politics/federal/teach-kids-to-break-cycle-of-family-violence-liberal-mp-20200102-p53odr.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,Bushfires spew two-thirds of national carbon emissions in one season,https://www.smh.com.au/politics/federal/bushfires-spew-two-thirds-of-national-carbon-emissions-in-one-season-20200102-p53oez.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,'Go back to Kirribilli': Morrison heckled by angry residents in Cobargo,https://www.smh.com.au/politics/federal/go-back-to-kirribilli-morrison-heckled-by-angry-residents-in-cobargo-20200102-p53ogb.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,"Australia's climate policies will protect environment and 'seek to reduce' hazard of fires, says Prime Minister",https://www.smh.com.au/politics/federal/australia-s-climate-policies-will-protect-environment-and-seek-to-reduce-hazard-of-fires-says-prime-minister-20200102-p53odi.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,Dangerous fire weather warnings spur evacuations in NSW and Victoria,https://www.smh.com.au/politics/federal/dangerous-fire-weather-warnings-spur-evacuations-in-nsw-and-victoria-20200102-p53od3.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
SMH,2020/01/02,AFP evaluating Taylor documents investigation,https://www.smh.com.au/politics/federal/angus-taylor-documents-investigation-sent-to-afp-20200102-p53oas.html?ref=rss&utm_medium=rss&utm_source=rss_politics_federal
New Daily,2020/01/02,Michael Pascoe: How Murdoch’s myrmidons murdered climate policy,https://thenewdaily.com.au/news/national/2020/01/02/michael-pascoe-murdoch-climate/
New Daily,2020/01/02,Woman dies after exposure to bushfire smoke smothering Canberra,https://thenewdaily.com.au/news/state/act/2020/01/02/woman-dies-after-exposure-to-bushfire-smoke-smothering-canberra/
New Daily,2020/01/02,BoM: 2019 was the hottest and driest year we’ve ever endured,https://thenewdaily.com.au/life/science/2020/01/02/bom-2019-was-the-hottest-and-driest-year-weve-ever-endured/
New Daily,2020/01/02,NSW and Victoria continue to burn as residents warned of worsening conditions,https://thenewdaily.com.au/news/national/2020/01/02/fires-ravage-nsw-vic-canberra/
New Daily,2020/01/02,"Fears for 17 missing in Victoria, as navy arrives to evacuate tourists",https://thenewdaily.com.au/news/national/2020/01/02/navy-evacuation-bushfires-vic-nsw/
New Daily,2020/01/01,Relief for fire-ravaged communities – but it won’t last,https://thenewdaily.com.au/news/national/2020/01/02/gippsland-nsw-fires-help-red-cross/
ABC,2020/01/02,"Fires will close roads and isolate more towns in Victoria's north-east, authorities warn",http://www.abc.net.au/news/2020-01-03/vast-area-of-north-east-victoria-faces-bushfire-risk/11838230
ABC,2020/01/02,Victorian Premier declares state of disaster,http://www.abc.net.au/news/2020-01-02/bushfires-victoria-state-of-disaster-declared/11838290
ABC,2020/01/02,Father and son's death in fires exploited by scammers,http://www.abc.net.au/news/2020-01-02/fire-victims-family-outraged-at-fake-online-fundraiser/11837920
ABC,2020/01/02,"Kosciuszko National Park, town and prison evacuated as fire threatens southern NSW",http://www.abc.net.au/news/2020-01-02/fires-nsw-batlow-rfs-leave-tumut-kosciuszko-evacuation/11837622
ABC,2020/01/02,Seventeen people missing in fire-ravaged East Gippsland,http://www.abc.net.au/news/2020-01-02/bushfires-17-people-missing-east-gippsland-victoria/11836444
